Marke,Modell,Grundpreis,Leistung_kW,Hubraum,Leergewicht,Verbrauch_kombi,Tueranzahl,Fahrzeugklasse
Alpine,A110,58000,185,1798,1178,6.1,2,4
Land Rover,Range Rover Velar P250,56400,184,1998,1804,7.6,5,4
Porsche,Macan,56264,185,1984,1845,7.2,5,4
Audi,TTS Roadster,53350,228,1984,1525,7.3,2,4
Jaguar,F-Pace 25t,51160,184,1997,1760,7.4,5,4
Audi,TTS Coupee,50550,228,1984,1440,7.1,3,4
Audi,Q5 2.0 TFSI,50500,185,1984,1795,6.8,5,4
BMW,X4 xDrive20i,49850,135,1997,1810,7.2,5,4
Mercedes,GLC Coupee 250,49837,155,1991,1785,6.9,5,4
Opel,Insignia Sports Tourer GSi 2.0 DI Turbo Start&Stop,48800,191,1998,1716,8.7,5,4
Audi,A4 Allroad 2.0 TFSI,48750,185,1984,1655,6.4,5,4
Volvo,XC60 T5,48650,184,1969,1915,7.4,5,4
Jeep,Cherokee 3.2 V6 Pentastar,48000,200,3239,2036,9.6,5,4
Opel,Insignia Grand Sport GSi 2.0 DI Turbo Start&Stop,47800,191,1998,1683,8.6,5,4
BMW,420i Cabrio,47700,135,1998,1775,6.2,2,4
Volvo,S60 Cross Country T5,47050,180,1969,1722,7.4,4,4
Nissan,370Z Nismo,46880,253,3696,1496,10.6,3,4
Volvo,V60 Cross Country T5,45950,180,1969,1776,7.4,5,4
Land Rover,Discovery Sport Si4,45750,177,1998,1796,8,5,4
Mercedes,GLC 250,45315,155,1991,1735,6.5,5,4
Infiniti,Q50 2.0t,44900,155,1991,1587,6.3,4,4
Jeep,Wrangler Unlimited 3.6 V6,44900,209,3604,1995,11.4,5,4
Infiniti,Q60 2.0t,44500,155,1991,1722,6.8,2,4
BMW,X3 xDrive20i,44400,135,1998,1790,7.1,5,4
Audi,A5 Cabriolet 2.0 TFSI,44000,140,1984,1675,5.9,2,4
KIA,Stinger 2.0 T-GDI,43990,188,1998,1717,7.9,5,4
VW,Passat Alltrack 2.0 TSI BMT,43925,162,1984,1677,6.9,5,4
Morgan,4/4 1.8 16V,43009,82,1595,800,8.2,2,4
Mercedes,C 180 Cabriolet,42727,115,1595,1600,6,2,4
Infiniti,Q50 2.0t,42500,155,1991,1585,6.3,4,4
Alfa Romeo,Stelvio 2.0 Turbo 16V,42200,147,1995,1735,7,5,4
Jeep,Wrangler 3.6 V6,41900,209,3604,1828,11,3,4
Renault,Espace ENERGY TCe 225,40900,165,1798,1685,6.8,5,4
BMW,420i Coupee,40400,135,1998,1550,5.8,2,4
BMW,420i Gran Coupee,40400,135,1998,1595,5.8,5,4
Cadillac,ATS Coupee 2.0 Turbo,40400,203,1998,1591,7.7,3,4
BMW,320i Gran Turismo,40200,135,1998,1655,6.1,5,4
Nissan,370Z Roadster,40130,241,3696,1496,11.2,2,4
DS Automobiles,DS 7 Crossback PureTech 225,38990,165,1598,1500,5.9,5,4
Alfa Romeo,Giulia 2.0 Turbo 16V,38500,147,1995,1504,6,4,4
Audi,A5 Sportback 2.0 TFSI,38050,140,1984,1505,5.8,5,4
Audi,A5 Coupee 2.0 TFSI,38050,140,1984,1465,5.6,2,4
Cadillac,ATS 2.0 Turbo,37400,203,1998,1593,7.6,4,4
Jaguar,XE 20t,36960,147,1997,1540,6.3,4,4
Subaru,Outback 2.5i,36900,129,2498,1582,7,5,4
Mercedes,C 180 Coupee,36033,115,1595,1475,5.3,2,4
Audi,TT Roadster 1.8 TFSI,35550,132,1798,1375,5.9,2,4
Mercedes,SLC 180,35349,115,1595,1435,5.6,2,4
Skoda,Kodiaq Scout 1.4 TSI ACT,35050,110,1395,1610,6.8,5,4
Opel,Insignia Country Tourer 1.5 DI Turbo Start&Stop,34885,121,1490,1522,6.4,5,4
BMW,318i Touring,34550,100,1499,1545,5.4,5,4
DS Automobiles,DS 5 THP 165 Stop&Start,34390,121,1598,1504,5.9,5,4
Nissan,370Z Coupee,34130,241,3696,1496,10.6,3,4
Audi,A4 Avant 1.4 TFSI,33700,110,1395,1445,5.4,5,4
Mercedes,C 160 T-Modell,33534,95,1595,1470,5.4,5,4
VW,Sharan 1.4 TSI BMT,33325,110,1395,1703,6.4,5,4
Ford,Galaxy 1.5 EcoBoost Start/Stopp,33310,118,1498,1708,6.5,5,4
Audi,TT Coupee 1.8 TFSI,33150,132,1798,1285,5.8,3,4
BMW,318i,32850,100,1499,1475,5.1,4,4
Subaru,BRZ 2.0i,32400,147,1998,1243,7.8,2,4
Skoda,Octavia Scout 1.8 TSI,32110,132,1798,1522,6.8,5,4
Volvo,V60 T2,32100,90,1498,1680,5.9,5,4
Mercedes,C 160,31868,95,1595,1395,5.2,4,4
Audi,A4 1.4 TFSI,31850,110,1395,1395,5.2,4,4
Skoda,Octavia Combi RS,31590,169,1984,1442,6.5,5,4
Hyundai,Santa Fe 2.4 GDI,31190,138,2359,1708,9.4,5,4
Skoda,Octavia RS,30890,169,1984,1420,6.5,5,4
Peugeot,508 SW THP 165 STOP&START,30850,121,1598,1495,5.8,5,4
Renault,Talisman Grandtour Energy TCe 150,30800,110,1618,1565,5.8,5,4
Volvo,S60 T2,30500,90,1498,1632,5.8,4,4
SEAT,Alhambra 1.4 TSI Start&Stop,30435,110,1395,1703,6.4,5,4
Ford,S-MAX 1.5 EcoBoost Start/Stopp,30400,118,1498,1645,6.5,5,4
Subaru,Levorg 1.6 Turbo,29990,125,1600,1537,6.9,5,4
Toyota,GT86 2.0,29990,147,1998,1305,7.8,2,4
VW,Tiguan Allspace 1.4 TSI ACT,29975,110,1395,1570,6.1,5,4
Peugeot,508 THP 165 STOP&START,29800,121,1598,1475,5.8,4,4
Renault,Talisman Energy TCe 150,29800,110,1618,1505,5.6,4,4
Toyota,RAV4 2.0,27990,112,1987,1565,6.7,5,4
VW,Passat Variant 1.4 TSI BMT,27875,92,1395,1394,5.3,5,4
Opel,Cascada 1.4 Turbo,27545,88,1364,1701,6.7,2,4
Ford,Mondeo Turnier 1.0 EcoBoost,26990,92,998,1476,5.3,5,4
VW,Passat 1.4 TSI BMT,26800,92,1395,1367,5.3,4,4
Opel,Insignia Sports Tourer 1.5 DI Turbo Start&Stop,26730,103,1490,1487,6,5,4
Skoda,Kodiaq 1.4 TSI,26150,92,1395,1502,6,5,4
Ford,Mondeo 1.0 EcoBoost,25990,92,998,1455,5.2,5,4
KIA,Optima Sportswagon 2.0,25990,120,1999,1550,7.6,5,4
Subaru,Forester 2.0X,25900,110,1995,1478,6.9,5,4
Mazda,6 SKYACTIV-G 145 i-ELOOP,25890,107,1998,1375,5.5,4,4
Mazda,6 Kombi SKYACTIV-G 145 i-ELOOP,25890,107,1998,1380,5.6,5,4
Toyota,Avensis Touring Sports 1.6,25740,97,1598,1460,6.2,5,4
Opel,Insignia Grand Sport 1.5 DI Turbo Start&Stop,25630,103,1490,1441,5.9,5,4
Hyundai,i40 Kombi 1.6 GDI blue,25490,99,1591,1503,6.1,5,4
Nissan,X-Trail 1.6 DIG-T,25440,120,1618,1505,6.2,5,4
KIA,Optima 2.0,25090,120,1999,1530,7.4,4,4
Nissan,X-Trail 1.6 DIG-T,24990,120,1618,1505,6.2,5,4
Peugeot,5008 1.2 PureTech 130,24900,96,1199,1385,5.1,5,4
Toyota,Avensis 1.6,24740,97,1598,1430,6.1,4,4
Honda,CR-V 2.0,23990,114,1997,1531,7.2,5,4
Mitsubishi,Outlander 2.0 ClearTec,21990,110,1998,1497,6.7,5,4
Nissan,Evalia 16V 110,20690,81,1598,1386,7.3,5,4
Nissan,NV200 Kombi 16V 110,19921,81,1598,1351,7.3,5,4
Skoda,Octavia Combi 1.2 TSI,18150,63,1197,1247,4.8,5,4
Skoda,Octavia 1.2 TSI,17450,63,1197,1225,4.8,5,4
Nissan,GT-R Nismo,184950,441,3799,1800,11.8,3,5
Jaguar,F-Type SVR Cabriolet 5.0 V8 Kompressor,146400,423,5000,1720,11.3,2,5
Jaguar,F-Type SVR Coupee 5.0 V8 Kompressor,139400,423,5000,1705,11.3,3,5
Porsche,Cayenne Turbo,138850,404,3996,2250,11.9,5,5
Porsche,Cayenne Turbo,132781,382,4806,2260,11.2,5,5
BMW,X6 M,124200,423,4395,2265,11.1,5,5
Mercedes,CLS 63 AMG Shooting Brake,122630,410,5461,2025,10.6,5,5
Audi,RS7 performance cod Sportback,122200,445,3993,2005,9.5,5,5
BMW,X5 M,120700,423,4395,2350,11.1,5,5
BMW,M5,117900,441,4395,1930,10.5,4,5
Mercedes,CLS 63 AMG Coupee,116918,410,5461,1870,9.9,4,5
BMW Alpina,B5 Bi-Turbo Touring,115300,447,4395,2120,10.4,5,5
Audi,RS6 cod Avant,112000,412,3993,2025,9.8,5,5
BMW Alpina,B5 Bi-Turbo,112000,447,4395,2015,10.3,4,5
Porsche,Cayenne GTS,102555,324,3604,2185,9.8,5,5
Lexus,GS F,100500,351,4969,1865,11.2,4,5
Nissan,GT-R,99900,419,3799,1827,11.8,3,5
Cadillac,CTS-V,98900,477,6162,1925,13,4,5
Dodge,Charger SRT 392,85900,362,6417,2000,15.5,4,5
Audi,S7 cod Sportback,84600,331,3993,2030,9.3,5,5
Dodge,Challenger SRT 392,82900,362,6417,2000,15.5,2,5
Audi,S6 cod Avant,80150,331,3993,2035,9.4,5,5
Mercedes,E 43 AMG T-Modell,78177,295,2996,1930,8.6,5,5
Porsche,718 Boxster GTS,78160,269,2497,1450,9,2,5
Audi,S6 cod,77650,331,3993,1970,9.2,4,5
Mercedes,GLE Coupee 43 AMG,77469,270,2996,2240,8.9,5,5
Porsche,718 Cayman GTS,76137,269,2497,1450,9,2,5
Maserati,Levante,76000,257,2979,2109,10.7,4,5
Mercedes,E 43 AMG,75387,295,2996,1840,8.2,4,5
Porsche,Cayenne,74828,250,2995,1985,9,5,5
BMW,X6 xDrive35i,72000,225,2979,2100,8.5,5,5
Mercedes,GLE 43 AMG,70746,270,2996,2180,8.6,5,5
Maserati,Ghibli,70250,257,2979,1810,8.9,4,5
Maserati,Ghibli,69200,243,2979,1810,8.9,4,5
Mercedes,GLE Coupee 400,68306,245,2996,2180,8.7,5,5
BMW,X5 xDrive35i,66400,225,2979,2105,8.5,5,5
Jaguar,F-Type Cabriolet P300,66200,221,1997,1545,7.2,2,5
Mercedes,CLS 400 Shooting Brake,65212,245,3498,1845,7.3,5,5
Mercedes,CLS 400 Coupee,63427,245,3498,1775,7.4,4,5
BMW,630i Gran Turismo,62300,190,1998,1720,6.2,5,5
Dodge,RAM 1500 Quad Cab 5.7 V8,61900,295,5700,2556,12.8,4,5
Mercedes,GLE 400,61583,245,2996,2130,8.5,5,5
Infiniti,Q70 3.7,60750,235,3696,1826,10.8,4,5
Volvo,XC90 T5,59850,184,1969,2112,7.8,5,5
Jaguar,F-Type Coupee P300,59200,221,1997,1525,7.2,3,5
Volvo,V90 Cross Country T5,57800,184,1969,1937,7.3,5,5
Porsche,718.,54717,220,1988,1410,7.4,2,5
Land Rover,Discovery Si4,54700,221,1997,2093,9.4,5,5
Mercedes,E 200 Cabriolet,54228,135,1991,1755,6.2,3,5
Infiniti,QX70 3.7,53800,235,3696,2012,12.1,5,5
Porsche,718.,52694,220,1988,1410,7.4,2,5
Jeep,Grand Cherokee 3.6 V6,51900,213,3604,2266,10,5,5
Jaguar,XF Sportbrake 25t,51060,184,1997,1760,6.8,5,5
Lexus,RX 200t,49900,175,1998,1885,7.8,5,5
Cadillac,XT5 3.6 V6,49300,231,3649,1954,10,5,5
BMW,520i Touring,49100,135,1998,1705,5.8,5,5
Mercedes,E 200 T-Modell,48903,135,1991,1705,6.2,5,5
Chevrolet,Camaro Cabriolet 2.0 Turbo,48000,202,1998,1659,8.1,2,5
BMW,520i,46600,135,1998,1605,5.4,4,5
Mercedes,E 200 Coupee,46494,135,1991,1645,6.5,3,5
Cadillac,CTS 2.0 Turbo,45350,203,1998,1659,7.8,4,5
Audi,A6 Avant 1.8 TFSI ultra,45200,140,1798,1710,5.9,5,5
Jaguar,XF 20t,45060,147,1997,1635,6.8,4,5
Volvo,V90 T4,44900,140,1969,1851,6.9,5,5
VW,T6 California 2.0 TSI BMT,44833,110,1984,2264,9.5,4,5
Ford,Mustang Convertible 2.3 EcoBoost,43500,213,2261,1715,9.1,2,5
Volvo,S90 T4,43450,140,1969,1800,6.7,4,5
Mercedes,E 200,43019,135,1991,1575,6.1,4,5
Audi,A6 1.8 TFSI ultra,42700,140,1798,1645,5.7,4,5
Ford,Mustang Convertible 2.3 EcoBoost,42500,233,2261,1715,8.2,2,5
Chevrolet,Camaro Coupee 2.0 Turbo,40400,202,1998,1539,8,2,5
Ford,Mustang Fastback 2.3 EcoBoost,39000,213,2261,1655,9,2,5
VW,T6 Caravelle 2.0 TSI BMT,38645,110,1984,1862,9.1,4,5
Ford,Mustang Fastback 2.3 EcoBoost,38000,233,2261,1655,8,2,5
VW,T6 Multivan 2.0 TSI BMT,36902,110,1984,2007,9.2,4,5
VW,Arteon 1.5 TSI ACT,35325,110,1498,1504,5.1,5,5
VW,T6 Transporter Kombi 2.0 TSI BMT Normaldach,33832,110,1984,1862,9.1,4,5
Skoda,Superb Combi 1.4 TSI,26750,92,1395,1395,5.6,5,5
Skoda,Superb 1.4 TSI,25750,92,1395,1375,5.6,5,5
Mercedes,Maybach G 650,749700,463,5980,2580,17,5,6
Ford,GT,500000,475,3497,1385,14.9,2,6
Rolls-Royce,Phantom 6.8 V12,446250,420,6749,2560,13.9,4,6
Lamborghini,Aventador S Roadster LP740-4,373262,544,6498,1625,16.9,2,6
Mercedes,Maybach S 650 Cabriolet,357000,463,5980,2115,12,2,6
Lamborghini,Aventador S LP740-4,335055,544,6498,1575,16.9,2,6
Rolls-Royce,Dawn 6.6 V12,329630,420,6592,2560,14.2,2,6
Bentley,Mulsanne,297191,377,6752,2685,15,4,6
Bentley,Continental Supersports Convertible,291253,522,5998,2455,15.9,2,6
Rolls-Royce,Wraith 6.6 V12,285898,465,6592,2435,14.3,2,6
Porsche,911 GT2 RS,285220,515,3800,1545,11.8,2,6
Ferrari,812.,282934,588,6496,1630,14.9,2,6
Rolls-Royce,Ghost 6.6 V12,277657,420,6592,2435,14.3,4,6
Aston Martin,Vanquish Volante,268995,424,5935,1919,12.8,3,6
Bentley,Continental Supersports,264775,522,5998,2280,15.7,2,6
Mercedes,S 65 AMG Cabriolet,257457,463,5980,2255,12,2,6
Aston Martin,Vanquish,253995,424,5935,1814,12.8,3,6
McLaren,720S,247350,527,3994,1322,10.7,2,6
Ferrari,F488 Spider,236750,493,3902,1525,11.4,2,6
Mercedes,G 500 4x4,231693,310,3982,3021,13.8,5,6
Ferrari,GTC4Lusso T,226246,449,3855,1870,11.6,2,6
Ferrari,F488 GTB,212653,493,3902,1475,11.4,2,6
McLaren,570S Spider,208975,419,3799,1573,10.7,2,6
Bentley,Bentayga W12,208488,447,5950,2440,12.8,5,6
Lamborghini,Urus,204000,478,3996,2200,12.7,5,6
Aston Martin,DB11 Volante V8,199000,375,3982,1870,9.9,3,6
Bentley,Continental GT W12,198492,467,5950,2244,12.2,2,6
Lamborghini,Huracn Spyder LP580-2,196350,426,5204,1509,12.1,2,6
McLaren,570GT,195350,419,3799,1515,10.7,2,6
Aston Martin,Rapide S,193995,411,5935,2065,12.9,5,6
Aston Martin,V12 Vantage S Roadster,192741,421,5935,1745,14.7,3,6
Bentley,Continental GT Convertible V8,192066,373,3993,2470,10.9,2,6
Porsche,911 Turbo Cabriolet,190020,397,3800,1740,9.3,2,6
Mercedes,S 63 AMG Cabriolet,190013,430,5461,2185,10.4,2,6
Porsche,911.,189544,368,3996,1445,13.3,2,6
McLaren,570S,185400,419,3799,1515,10.7,2,6
Ferrari,California T,184689,412,3855,1730,10.7,2,6
Aston Martin,DB11 V8,184000,375,3982,1760,9.9,3,6
Bentley,Flying Spur V8,183855,373,3993,2417,10.9,4,6
Donkervoort,D8 GTO-RS,182070,284,2480,695,8,2,6
Aston Martin,V12 Vantage S,179950,421,5935,1680,17,3,6
Lamborghini,Huracn LP580-2,178500,426,5204,1389,11.9,2,6
Mercedes,S 63 AMG Coupee,177310,450,3982,2080,9.3,2,6
Porsche,911 Turbo Coupee,176930,397,3800,1670,9.1,2,6
Mercedes,S 63 AMG Coupee,175436,430,5461,2070,10.1,2,6
Bentley,Continental GT V8,174573,373,3993,2370,10.6,2,6
McLaren,540C,163200,397,3799,1446,10.7,2,6
Mercedes,SL 63 AMG,161959,430,5461,1845,9.8,2,6
Mercedes,S 63 AMG,160293,450,3982,2070,8.9,4,6
Porsche,Panamera Sport Turismo Turbo,158604,404,3996,2110,9.4,5,6
Porsche,Panamera Turbo,155748,404,3996,2070,9.3,5,6
Audi,R8 Spyder 5.2 FSI V10,153000,397,5204,1755,12.6,2,6
Porsche,911.,152416,368,3996,1488,12.9,2,6
BMW Alpina,B7 Bi-Turbo,149400,447,4395,2110,10.4,4,6
Porsche,911.,146228,331,2981,1660,9.7,2,6
Mercedes,G 63 AMG,145359,420,5461,2550,13.8,5,6
Maserati,GranCabrio Sport,144320,338,4691,1980,14.5,2,6
Jaguar,XJR575,143900,423,5000,1875,11.1,4,6
